INFO 2025-01-03 01:45:52,777 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,787 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,787 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,787 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,787 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,787 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,787 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,795 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,796 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,796 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,797 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,797 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2025-01-03 01:45:52,798 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:45:54,843 "GET /class/2/update/ HTTP/1.1" 200 9822
INFO 2025-01-03 01:46:07,972 "GET /result/view/all HTTP/1.1" 200 8832
INFO 2025-01-03 01:46:11,920 "GET /class/list/ HTTP/1.1" 200 11410
INFO 2025-01-03 01:46:13,966 "GET /class/2/update/ HTTP/1.1" 200 9822
INFO 2025-01-03 01:46:21,491 "POST /class/2/update/ HTTP/1.1" 302 0
INFO 2025-01-03 01:46:21,508 "GET /class/list/ HTTP/1.1" 200 11554
INFO 2025-01-03 01:46:32,437 "POST /class/create/ HTTP/1.1" 302 0
INFO 2025-01-03 01:46:32,495 "GET /class/list/ HTTP/1.1" 200 11842
